h3_res10,centroid_latitude,centroid_longitude,historical_station,mode_police_station,citation_count,device_days,normalized_propensity,corrected_rank,spatial_test_status,mode_junction,candidate_tier,selection_rank,selection_reason,inside_demo_bbox,region_validation_status,region_exclusion_reason,reverse_geocoded_locality,reverse_geocoded_sub_locality,formatted_address,phase2_run_id,phase3_run_id,generated_at
8a618920e99ffff,12.94261703751705,77.74818795165302,WHITEFIELD,WHITEFIELD,9,6,0.13001562361313232,1394.0,TESTED,NO JUNCTION,RESERVE,21,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920a39ffff,12.965199488336387,77.71904515525664,WHITEFIELD,WHITEFIELD,78,30,0.12951272825770987,1458.0,TESTED,NO JUNCTION,RESERVE,22,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920a817fff,12.956599600623495,77.72974478914833,WHITEFIELD,WHITEFIELD,7,6,0.12439921210498327,1701.0,TESTED,NO JUNCTION,RESERVE,23,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921d8f7fff,12.965079654305342,77.74918014970044,WHITEFIELD,WHITEFIELD,12,8,0.12305799188920523,1755.0,TESTED,NO JUNCTION,RESERVE,24,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a6189208697fff,12.952369298393752,77.71761879992933,WHITEFIELD,WHITEFIELD,88,36,0.12238743589044172,1780.0,TESTED,NO JUNCTION,RESERVE,25,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920e78ffff,12.956560776219233,77.73938776870914,WHITEFIELD,WHITEFIELD,9,7,0.12236764575353629,1787.0,TESTED,NO JUNCTION,RESERVE,26,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921d417fff,12.978979128428223,77.75122977167266,WHITEFIELD,WHITEFIELD,30,15,0.12095228444716632,1872.0,TESTED,NO JUNCTION,RESERVE,27,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920aa07fff,12.955566075157021,77.72068699426808,WHITEFIELD,WHITEFIELD,24,13,0.11974866777339145,1926.0,TESTED,NO JUNCTION,RESERVE,28,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618921d847fff,12.961877713849724,77.74731614643899,WHITEFIELD,WHITEFIELD,8,7,0.11972462857323087,1945.0,TESTED,NO JUNCTION,RESERVE,29,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
8a618920e41ffff,12.956536328745116,77.74541515618006,WHITEFIELD,WHITEFIELD,23,13,0.1177951333357744,2017.0,TESTED,NO JUNCTION,RESERVE,30,station=WHITEFIELD;eligible;TESTED;rank_asc;tie_h3_asc,True,PASSED,,,,,20260622_132248_phase2,20260622_190858_phase3,2026-06-22T19:09:02.819612+05:30
