h3_res10,spatial_component_id,spatial_component_size,present_neighbor_count,is_spatial_island,spatial_test_status,gistar_z_score,gistar_p_value,gistar_q_value,spatial_hotspot_label
8a60145b2a57fff,1,2121,3,False,TESTED,0.9591888348262032,0.059,0.31017143045152934,NOT_SIGNIFICANT
8a60145b2a5ffff,1,2121,6,False,TESTED,0.249177182885482,0.339,0.47535887625308854,NOT_SIGNIFICANT
8a60145b2a67fff,1,2121,4,False,TESTED,2.6060250396423204,0.045,0.28217253517419005,NOT_SIGNIFICANT
8a60145b2a6ffff,1,2121,6,False,TESTED,2.063553570633529,0.038,0.26509951754203903,NOT_SIGNIFICANT
8a60145b2acffff,1,2121,4,False,TESTED,0.016577959005932365,0.424,0.4885591702831764,NOT_SIGNIFICANT
8a60145b2aeffff,1,2121,4,False,TESTED,-0.4479124635320455,0.49,0.4995878885112284,NOT_HOT
8a60145b2b07fff,24,32,1,False,TESTED,1.0116895223856357,0.378,0.4845932785514641,NOT_SIGNIFICANT
8a60145b2b17fff,24,32,3,False,TESTED,2.1129510282463166,0.012,0.14245161414146423,NOT_SIGNIFICANT
8a60145b2b4ffff,1,2121,4,False,TESTED,1.4527835578611017,0.061,0.31177778128120637,NOT_SIGNIFICANT
8a60145b2b6ffff,1,2121,3,False,TESTED,0.20529483144968405,0.355,0.478131395186821,NOT_SIGNIFICANT
8a60145b2ba7fff,24,32,2,False,TESTED,1.977309492418691,0.026,0.22546097666946882,NOT_SIGNIFICANT
8a60145b2c47fff,318,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a60145b2c77fff,318,2,1,False,COMPONENT_TOO_SMALL,,,,NOT_TESTED
8a60145b2cc7fff,8,150,4,False,TESTED,0.2852108507166745,0.285,0.4635580052328373,NOT_SIGNIFICANT
8a60145b2cd7fff,8,150,3,False,TESTED,-0.08009574785581126,0.353,0.478131395186821,NOT_HOT
8a60145b2cdffff,8,150,4,False,TESTED,-0.21976522604404708,0.436,0.49019819328478553,NOT_HOT
8a60145b2ce7fff,8,150,2,False,TESTED,-0.014609718435394294,0.456,0.49400699197862163,NOT_HOT
8a60145b2ceffff,8,150,2,False,TESTED,-0.014609718435394294,0.402,0.4873234322649205,NOT_HOT
8a60145b2d2ffff,552,1,0,True,INSUFFICIENT_NEIGHBORS,,,,NOT_TESTED
8a60145b2d87fff,8,150,3,False,TESTED,1.5440191909239211,0.064,0.31639967917595263,NOT_SIGNIFICANT
8a60145b2d8ffff,8,150,2,False,TESTED,0.9087998301963659,0.232,0.4405082104783487,NOT_SIGNIFICANT
8a60145b2d9ffff,8,150,2,False,TESTED,0.9087998301963659,0.075,0.33454546783909656,NOT_SIGNIFICANT
8a60145b2db7fff,8,150,4,False,TESTED,0.7535260802860936,0.359,0.4794266238507837,NOT_SIGNIFICANT
8a60145b3007fff,1,2121,3,False,TESTED,0.47746477872627774,0.089,0.3524088830697753,NOT_SIGNIFICANT
8a60145b300ffff,1,2121,5,False,TESTED,3.304109989724043,0.023,0.21061275313097064,NOT_SIGNIFICANT
8a60145b3027fff,1,2121,4,False,TESTED,-0.09515357970893418,0.281,0.4620295814614295,NOT_HOT
8a60145b302ffff,1,2121,5,False,TESTED,0.22959724948513352,0.448,0.4916727085593473,NOT_SIGNIFICANT
8a60145b3047fff,1,2121,4,False,TESTED,0.8008576006136565,0.075,0.33454546783909656,NOT_SIGNIFICANT
8a60145b3057fff,1,2121,6,False,TESTED,2.3749432077687236,0.122,0.37967019454117307,NOT_SIGNIFICANT
8a60145b305ffff,1,2121,5,False,TESTED,0.9714377280689257,0.085,0.34949721038008535,NOT_SIGNIFICANT
8a60145b3067fff,1,2121,3,False,TESTED,-1.2347523960584443,0.021,0.19847190743656068,NOT_HOT
8a60145b3077fff,1,2121,5,False,TESTED,1.9138489064793707,0.04,0.27290845276444703,NOT_SIGNIFICANT
8a60145b30affff,1,2121,1,False,TESTED,0.11643588680045605,0.427,0.4889530497185704,NOT_SIGNIFICANT
